 TIME                    	Outlet                   	
  +4.3440000000000000E+03	  +2.0000000000000000E+01	
  +4.3442500000000000E+03	  +1.8779495706241114E+01	
  +4.3445000000000000E+03	  +1.8745789577591754E+01	
  +4.3447500000000000E+03	  +1.8700268186976309E+01	
  +4.3450000000000000E+03	  +1.8654652212774195E+01	
  +4.3452500000000000E+03	  +1.8608941671339235E+01	
  +4.3455000000000000E+03	  +1.8563136579025254E+01	
  +4.3457500000000000E+03	  +1.8517236952186074E+01	
  +4.3460000000000000E+03	  +1.8471242807175521E+01	
  +4.3462500000000000E+03	  +1.8425154160347422E+01	
  +4.3465000000000000E+03	  +1.8378971028055599E+01	
  +4.3467500000000000E+03	  +1.8332693426653876E+01	
  +4.3470000000000000E+03	  +1.8286321372496076E+01	
  +4.3472500000000000E+03	  +1.8239854881936026E+01	
  +4.3475000000000000E+03	  +1.8193293971327545E+01	
  +4.3477500000000000E+03	  +1.8146638657024468E+01	
  +4.3480000000000000E+03	  +1.8099888955380607E+01	
  +4.3482500000000000E+03	  +1.8055761670916805E+01	
  +4.3485000000000000E+03	  +1.8031145912909118E+01	
  +4.3487500000000000E+03	  +1.8030229189926782E+01	
  +4.3490000000000000E+03	  +1.8054479602442871E+01	
  +4.3492500000000000E+03	  +1.8102676671784231E+01	
  +4.3495000000000000E+03	  +1.8159475500700573E+01	
  +4.3497500000000000E+03	  +1.8220946103936040E+01	
  +4.3500000000000000E+03	  +1.8285660694308827E+01	
  +4.3502500000000000E+03	  +1.8352714735419575E+01	
  +4.3505000000000000E+03	  +2.0329932606515165E+01	
  +4.3507500000000000E+03	  +2.0823357490252992E+01	
  +4.3510000000000000E+03	  +2.1460270116659210E+01	
  +4.3512500000000000E+03	  +2.2058825384056000E+01	
  +4.3515000000000000E+03	  +2.2557354394478750E+01	
  +4.3517500000000000E+03	  +2.3145884413618212E+01	
  +4.3520000000000000E+03	  +2.4076423916240888E+01	
  +4.3522500000000000E+03	  +2.5297050334670864E+01	
  +4.3525000000000000E+03	  +2.6782559787904010E+01	
  +4.3527500000000000E+03	  +2.8104797157177064E+01	
  +4.3530000000000000E+03	  +2.9313584731097169E+01	
  +4.3532500000000000E+03	  +3.0507386627639157E+01	
  +4.3535000000000000E+03	  +3.1646054535742408E+01	
  +4.3537500000000000E+03	  +3.2689152528911890E+01	
  +4.3540000000000000E+03	  +3.3622709564998068E+01	
  +4.3542500000000000E+03	  +3.4444182020938278E+01	
  +4.3545000000000000E+03	  +3.5151757639689393E+01	
  +4.3547500000000000E+03	  +3.5708056456933519E+01	
  +4.3550000000000000E+03	  +3.5946798699545219E+01	
  +4.3552500000000000E+03	  +3.6020000713154985E+01	
  +4.3555000000000000E+03	  +3.6143511968270673E+01	
  +4.3557500000000000E+03	  +3.6584116606574483E+01	
  +4.3560000000000000E+03	  +3.7578996221691241E+01	
  +4.3562500000000000E+03	  +3.8782981941326398E+01	
  +4.3565000000000000E+03	  +3.9773126545481233E+01	
  +4.3567500000000000E+03	  +4.0122988095663679E+01	
  +4.3570000000000000E+03	  +3.9730461902832076E+01	
  +4.3572500000000000E+03	  +3.9023915448607241E+01	
  +4.3575000000000000E+03	  +3.8476222555339902E+01	
  +4.3577500000000000E+03	  +3.8550647341115763E+01	
  +4.3580000000000000E+03	  +3.9355933308503907E+01	
  +4.3582500000000000E+03	  +4.0320348582543566E+01	
  +4.3585000000000000E+03	  +4.0586137251922068E+01	
  +4.3587500000000000E+03	  +4.0552333156884231E+01	
  +4.3590000000000000E+03	  +3.9974278986550800E+01	
  +4.3592500000000000E+03	  +3.8951672319841954E+01	
  +4.3595000000000000E+03	  +3.7532460007282111E+01	
  +4.3597500000000000E+03	  +3.5698890067564385E+01	
  +4.3600000000000000E+03	  +3.3434681381430245E+01	
  +4.3602500000000000E+03	  +3.1029465818278780E+01	
  +4.3605000000000000E+03	  +2.9151282722257271E+01	
  +4.3607500000000000E+03	  +2.7887047488129735E+01	
  +4.3610000000000000E+03	  +2.6887764032928796E+01	
  +4.3612500000000000E+03	  +2.6103044117060211E+01	
  +4.3615000000000000E+03	  +2.5405409843270267E+01	
  +4.3617500000000000E+03	  +2.4716014475115063E+01	
  +4.3620000000000000E+03	  +2.3917986686515913E+01	
  +4.3622500000000000E+03	  +2.3068535917751049E+01	
  +4.3625000000000000E+03	  +2.2341329672254563E+01	
  +4.3627500000000000E+03	  +2.0164252151933212E+01	
  +4.3630000000000000E+03	  +2.0121560035260991E+01	
  +4.3632500000000000E+03	  +2.0071631308970613E+01	
  +4.3635000000000000E+03	  +2.0020419905818859E+01	
  +4.3637500000000000E+03	  +1.9969071598868251E+01	
  +4.3640000000000000E+03	  +1.9917586088608108E+01	
  +4.3642500000000000E+03	  +1.9865964057967393E+01	
  +4.3645000000000000E+03	  +1.9814204878795959E+01	
  +4.3647500000000000E+03	  +1.9762309237502631E+01	
  +4.3650000000000000E+03	  +1.9710276502458115E+01	
  +4.3652500000000000E+03	  +1.9658107363549664E+01	
  +4.3655000000000000E+03	  +1.9605801185670273E+01	
  +4.3657500000000000E+03	  +1.9553358662184191E+01	
  +4.3660000000000000E+03	  +1.9500779154508130E+01	
  +4.3662500000000000E+03	  +1.9447507609738796E+01	
  +4.3665000000000000E+03	  +1.9390920975911808E+01	
  +4.3667500000000000E+03	  +1.9332288305825973E+01	
