      TIME      TAMB     T_AIR     T_OP     1_T_AIR    1_T_OP      2_T_AIR    2_T_OP      3_T_AIR    3_T_OP    
      [HR]       [C]      [C]       [C]       [C]      [C]        [C]      [C]        [C]      [C]    
      0.00      0.00     20.00     20.00     20.00     20.00     20.00     20.00     20.00     20.00
      1.00      6.61     19.47     19.47     19.25     19.25     19.35     19.35     20.03     20.03
      2.00      6.51     18.79     18.79     18.40     18.40     18.63     18.63     19.73     19.73
      3.00      6.30     18.23     18.23     17.79     17.79     18.11     18.11     19.24     19.24
      4.00      6.10     17.57     17.57     17.02     17.02     17.44     17.44     18.80     18.80
      5.00      5.90     17.00     17.00     16.39     16.39     16.89     16.89     18.33     18.33
      6.00      5.70     16.42     16.42     15.74     15.74     16.32     16.32     17.90     17.90
      7.00      5.50     15.94     15.94     15.23     15.23     15.81     15.81     17.47     17.47
      8.00      5.30     17.96     17.96     17.50     17.50     19.77     19.77     17.07     17.07
      9.00      5.28     19.82     19.82     20.00     20.00     22.59     22.59     16.69     16.69
     10.00      5.99     19.87     19.87     20.00     20.00     23.08     23.08     16.40     16.40
     11.00      6.83     20.22     20.22     20.00     20.00     24.64     24.64     16.22     16.22
     12.00      7.93     20.32     20.32     20.00     20.00     25.15     25.15     16.14     16.14
     13.00      9.16     20.71     20.71     20.35     20.35     26.00     26.00     16.14     16.14
     14.00      9.83     20.92     20.92     20.76     20.76     26.00     26.00     16.19     16.19
     15.00      9.65     20.76     20.76     20.40     20.40     26.00     26.00     16.23     16.23
     16.00      9.35     20.57     20.57     20.00     20.00     26.00     26.00     16.27     16.27
     17.00      8.80     20.57     20.57     20.00     20.00     26.00     26.00     16.28     16.28
     18.00      8.25     20.85     20.85     20.56     20.56     26.00     26.00     16.28     16.28
     19.00      7.95     21.03     21.03     20.92     20.92     26.00     26.00     16.27     16.27
     20.00      7.65     21.05     21.05     20.97     20.97     26.00     26.00     16.26     16.26
     21.00      7.35     21.13     21.13     21.15     21.15     26.00     26.00     16.24     16.24
     22.00      7.05     21.15     21.15     21.20     21.20     26.00     26.00     16.21     16.21
     23.00      6.75     19.76     19.76     19.41     19.41     24.04     24.04     16.18     16.18
     24.00      6.51     18.60     18.60     18.00     18.00     22.28     22.28     16.13     16.13
     25.00      6.16     18.17     18.17     17.58     17.58     21.48     21.48     16.05     16.05
     26.00      5.70     17.39     17.39     16.66     16.66     20.28     20.28     15.94     15.94
     27.00      5.30     16.87     16.87     16.12     16.12     19.46     19.46     15.79     15.79
     28.00      4.85     16.24     16.24     15.40     15.40     18.52     18.52     15.61     15.61
     29.00      4.40     15.84     15.84     15.10     15.10     17.74     17.74     15.40     15.40
     30.00      4.00     15.53     15.53     15.00     15.00     16.95     16.95     15.17     15.17
     31.00      3.56     15.29     15.29     15.00     15.00     16.23     16.23     14.91     14.91
     32.00      3.07     17.37     17.37     17.50     17.50     19.83     19.83     14.64     14.64
     33.00      2.99     19.19     19.19     20.00     20.00     22.39     22.39     14.38     14.38
     34.00      3.76     19.24     19.24     20.00     20.00     22.75     22.75     14.21     14.21
     35.00      4.10     19.54     19.54     20.00     20.00     24.07     24.07     14.08     14.08
