 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.7162865084527201E-01	  +6.0759756883026872E-01	  +3.5666051627727147E+03	  +3.5666474679930611E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.7162865084527201E-01	  +6.0759756883026872E-01	  +3.5666051627727147E+03	  +3.5666474679930611E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.7162865084527201E-01	  +6.0759756883026872E-01	  +3.5666051627727147E+03	  +3.5666474679930611E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.7162865084527201E-01	  +6.0759756883026872E-01	  +3.5666051627727147E+03	  +3.5666474679930611E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.7162865084527201E-01	  +6.0759756883026872E-01	  +3.5666051627727147E+03	  +3.5666474679930611E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.7162865084527201E-01	  +6.0759756883026872E-01	  +3.5666051627727147E+03	  +3.5666474679930611E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.7768695718466954E-01	  +6.1113193739809901E-01	  +3.4941973870375041E+03	  +3.4942306390007625E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.7768695718466954E-01	  +6.1113193739809901E-01	  +3.4941973870375041E+03	  +3.4942306390007625E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.7768695718466954E-01	  +6.1113193739809901E-01	  +3.4941973870375041E+03	  +3.4942306390007625E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.7768695718466954E-01	  +6.1113193739809901E-01	  +3.4941973870375041E+03	  +3.4942306390007625E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.7768695718466954E-01	  +6.1113193739809901E-01	  +3.4941973870375041E+03	  +3.4942306390007625E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.7768695718466954E-01	  +6.1113193739809901E-01	  +3.4941973870375041E+03	  +3.4942306390007625E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.8420018760157464E-01	  +6.1497098061622912E-01	  +3.4219495609102501E+03	  +3.4219736101573794E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.8420018760157464E-01	  +6.1497098061622912E-01	  +3.4219495609102501E+03	  +3.4219736101573794E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.8420018760157464E-01	  +6.1497098061622912E-01	  +3.4219495609102501E+03	  +3.4219736101573794E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.8420018760157464E-01	  +6.1497098061622912E-01	  +3.4219495609102501E+03	  +3.4219736101573794E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.8420018760157464E-01	  +6.1497098061622912E-01	  +3.4219495609102501E+03	  +3.4219736101573794E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.8420018760157464E-01	  +6.1497098061622912E-01	  +3.4219495609102501E+03	  +3.4219736101573794E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9118319400892814E-01	  +6.1910344658673877E-01	  +3.3488276612686495E+03	  +3.3488426925992685E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9118319400892814E-01	  +6.1910344658673877E-01	  +3.3488276612686495E+03	  +3.3488426925992685E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9118319400892814E-01	  +6.1910344658673877E-01	  +3.3488276612686495E+03	  +3.3488426925992685E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9118319400892814E-01	  +6.1910344658673877E-01	  +3.3488276612686495E+03	  +3.3488426925992685E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9118319400892814E-01	  +6.1910344658673877E-01	  +3.3488276612686495E+03	  +3.3488426925992685E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9118319400892814E-01	  +6.1910344658673877E-01	  +3.3488276612686495E+03	  +3.3488426925992685E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9787578658778815E-01	  +6.2287000984412955E-01	  +3.2776448949502346E+03	  +3.2776509291586381E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9787578658778815E-01	  +6.2287000984412955E-01	  +3.2776448949502346E+03	  +3.2776509291586381E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9787578658778815E-01	  +6.2287000984412955E-01	  +3.2776448949502346E+03	  +3.2776509291586381E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9787578658778815E-01	  +6.2287000984412955E-01	  +3.2776448949502346E+03	  +3.2776509291586381E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9787578658778815E-01	  +6.2287000984412955E-01	  +3.2776448949502346E+03	  +3.2776509291586381E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9787578658778815E-01	  +6.2287000984412955E-01	  +3.2776448949502346E+03	  +3.2776509291586381E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.0495966415963984E-01	  +6.2675481784545695E-01	  +3.2063469365055712E+03	  +3.2063439815369243E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.0495966415963984E-01	  +6.2675481784545695E-01	  +3.2063469365055712E+03	  +3.2063439815369243E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.0495966415963984E-01	  +6.2675481784545695E-01	  +3.2063469365055712E+03	  +3.2063439815369243E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.0495966415963984E-01	  +6.2675481784545695E-01	  +3.2063469365055712E+03	  +3.2063439815369243E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.0495966415963984E-01	  +6.2675481784545695E-01	  +3.2063469365055712E+03	  +3.2063439815369243E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.0495966415963984E-01	  +6.2675481784545695E-01	  +3.2063469365055712E+03	  +3.2063439815369243E+03	
