TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.0284855018965642E-01	  +6.9148262109886371E-01	  +3.4613475499749220E+03	  +3.4613579650287588E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9753759269313786E-01	  +6.7555511053916750E-01	  +3.5068598253035657E+03	  +3.5068700928933404E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9211779876233726E-01	  +6.6025525292109200E-01	  +3.5509428110435938E+03	  +3.5509529319475027E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9751781867104201E-01	  +6.7548261287665745E-01	  +3.5070925925224878E+03	  +3.5071028593409592E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9753759269313786E-01	  +6.7555511053916750E-01	  +3.5068598253035657E+03	  +3.5068700928933404E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9742404945433933E-01	  +6.7554880029106301E-01	  +3.5064453007371530E+03	  +3.5064555697894348E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9976380463594023E-01	  +6.8680971391006451E-01	  +3.4653119659654276E+03	  +3.4653223449608840E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9753759269313786E-01	  +6.7555511053916750E-01	  +3.5068598253035657E+03	  +3.5068700928933404E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.8800232323163568E-01	  +6.4444442061706630E-01	  +3.6076752740542074E+03	  +3.6076853307311021E+03	
