 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.6953795924108050E-01	  +6.5523938441003227E-01	  +4.0693628314388861E+03	  +4.0693947965071070E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.8063715484760012E-01	  +6.6307824327024179E-01	  +3.7191529811678547E+03	  +3.7191906227022459E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9548215715857165E-01	  +6.7394772638273492E-01	  +3.3687751398939167E+03	  +3.3688184804898792E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.1404056578988284E-01	  +6.8746260320905295E-01	  +3.0190012360135061E+03	  +3.0190495072968497E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.3982554361287733E-01	  +7.0654137110463244E-01	  +2.6673057423001696E+03	  +2.6673596466949211E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.7360086948946272E-01	  +7.3101056552395105E-01	  +2.3131248481699636E+03	  +2.3131832368065084E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.7469978691128973E-01	  +6.5980083259362599E-01	  +3.9960209820417213E+03	  +3.9960436518115589E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.8651750113261290E-01	  +6.6821034307391836E-01	  +3.6454332989281402E+03	  +3.6454616835463480E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.0152350859371637E-01	  +6.7904886504600059E-01	  +3.2961735751418682E+03	  +3.2962077885958493E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.2140669552557002E-01	  +6.9358271187992826E-01	  +2.9454702361657892E+03	  +2.9455095605426695E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.4795023079381850E-01	  +7.1297972894117634E-01	  +2.5943277170033498E+03	  +2.5943728671781173E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.8287256350733703E-01	  +7.3791785838601842E-01	  +2.2405701180081082E+03	  +2.2406191248248269E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.8045355704971511E-01	  +6.6493328147919983E-01	  +3.9212567277180246E+03	  +3.9212700223971592E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9231570620949645E-01	  +6.7322576754173058E-01	  +3.5715591140090396E+03	  +3.5715784782626997E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.0821047644484969E-01	  +6.8471192455697116E-01	  +3.2229769331628927E+03	  +3.2230015951215605E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.2908965920724789E-01	  +6.9989988922807700E-01	  +2.8719377680303719E+03	  +2.8719681610532853E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.5628053597968037E-01	  +7.1947729183154041E-01	  +2.5207499300040436E+03	  +2.5207859423193313E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.9257393701768852E-01	  +7.4512047539276982E-01	  +2.1687802131873782E+03	  +2.1688194518124965E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.8580679487397367E-01	  +6.6963512816742432E-01	  +3.8474656956442154E+03	  +3.8474698787730431E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9866730115344577E-01	  +6.7874886705813253E-01	  +3.4980599805598272E+03	  +3.4980702816122084E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.1486629422754544E-01	  +6.9031962851601258E-01	  +3.1489278124185953E+03	  +3.1489433331091600E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.3689072501971264E-01	  +7.0626838959763449E-01	  +2.7980974472767584E+03	  +2.7981189185693643E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.6519428515421595E-01	  +7.2643835460972295E-01	  +2.4487178122322489E+03	  +2.4487450949534032E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +8.0140367757052133E-01	  +7.5128506284287222E-01	  +2.0984590354747079E+03	  +2.0984912512749256E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9160649632617033E-01	  +6.7473350445403124E-01	  +3.7740063690969819E+03	  +3.7740015454206291E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.0490161534595541E-01	  +6.8411859986485413E-01	  +3.4242330773734752E+03	  +3.4242342988903010E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.2224684764440561E-01	  +6.9655879935989062E-01	  +3.0761794905619195E+03	  +3.0761860372411302E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.4470920444377420E-01	  +7.1258172830529354E-01	  +2.7264767853280268E+03	  +2.7264893570636386E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.7455756922215846E-01	  +7.3371259830675239E-01	  +2.3758240222437535E+03	  +2.3758422931770747E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +8.1129265766745773E-01	  +7.5832756852492267E-01	  +2.0274115035799950E+03	  +2.0274349639394668E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +6.9711190929836153E-01	  +6.7951072504865762E-01	  +3.7008895976305548E+03	  +3.7008757289007062E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.1151466573512701E-01	  +6.8979657418526752E-01	  +3.3513606687715173E+03	  +3.3513528989387978E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.2955055723301954E-01	  +7.0265321585255636E-01	  +3.0023653773865321E+03	  +3.0023629422423905E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.5321744460417828E-01	  +7.1945914186031379E-01	  +2.6534810208557547E+03	  +2.6534846938276896E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +7.8376265593835837E-01	  +7.4068272314579509E-01	  +2.3035178390238834E+03	  +2.3035249502985971E+03	
 TIME                    	F_SOL_IN                 	F_SOL_OUT                	Q_BEDARF                 	Q_BEDARF_INKLSP          	
  +8.7600000000000000E+03	  +8.2210437341469578E-01	  +7.6590946268647275E-01	  +1.9573063187334226E+03	  +1.9573196338945399E+03	
